filename|raw_text|normalized_text
000037_RUSLAN|То есть правом бессмертия или неудачи.|То есть правом бессмертия или неудачи.
000038_RUSLAN|За что же моя рядовая, честная, единственная склонность подавляется бесчисленными органами, лицами, институтами великого государства??|За что же моя рядовая, честная, единственная склонность подавляется бесчисленными органами, лицами, институтами великого государства?
000039_RUSLAN|Я должен это понять.|Я должен это понять.
000040_RUSLAN|Не буду утруждать себя композицией.|Не буду утруждать себя композицией.
000041_RUSLAN|Сумбурно, длинно и невнятно попытаюсь изложить свою творческую биографию.|Сумбурно, длинно и невнятно попытаюсь изложить свою творческую биографию.
000042_RUSLAN|Это будут приключения моих рукописей.|Это будут приключения моих рукописей.
000043_RUSLAN|Портреты знакомых.|Портреты знакомых.
000044_RUSLAN|Как же назвать мне все это Досье?|Как же назвать мне все это Досье?
000045_RUSLAN|Записки одного литератора?|Записки одного литератора?
000046_RUSLAN|Сочинение на вольную тему?|Сочинение на вольную тему?
000047_RUSLAN|Разве это важно?|Разве это важно?
000048_RUSLAN|Книга-то невидимая.|Книга-то невидимая.
000049_RUSLAN|За окном ленинградские крыши, антенны, бледное небо.|За окном ленинградские крыши, антенны, бледное небо.
000050_RUSLAN|Катя готовит уроки, фокстерьер Глафира, похожая на березовую чурочку, сидит у ее ног и думает обо мне.|Катя готовит уроки, фокстерьер Глафира, похожая на березовую чурочку, сидит у ее ног и думает обо мне.
000051_RUSLAN|А передо мной лист бумаги.|А передо мной лист бумаги.
000052_RUSLAN|И я пересекаю эту белую заснеженную равнину один.|И я пересекаю эту белую заснеженную равнину один.
000053_RUSLAN|Лист бумаги счастье и проклятие!|Лист бумаги счастье и проклятие!
000054_RUSLAN|Лист бумаги наказание мое.|Лист бумаги наказание мое.
000055_RUSLAN|Предисловие, однако, затянулось.|Предисловие, однако, затянулось.
000056_RUSLAN|Начнем хотя бы с этого.|Начнем хотя бы с этого.
000057_RUSLAN|ПЕРВЫЙ КРИТИК|ПЕРВЫЙ КРИТИК
000058_RUSLAN|До революции Агния Францевна Мау была придворным венерологом.|До революции Агния Францевна Мау была придворным венерологом.
000059_RUSLAN|Прошло шестьдесят лет.|Прошло шестьдесят лет.
000060_RUSLAN|Навсегда сохранила Агния Францевна горделивый дворцовый апломб и прямоту клинициста.|Навсегда сохранила Агния Францевна горделивый дворцовый апломб и прямоту клинициста.
000061_RUSLAN|Это Мау сказала нашему квартуполномоченному полковнику Тихомирову, отдавившему лапу ее болонке|Это Мау сказала нашему квартуполномоченному полковнику Тихомирову, отдавившему лапу ее болонке
000063_RUSLAN|Тихомиров жил напротив, загнанный в отвратительную коммуналку своим партийным бескорыстием.|Тихомиров жил напротив, загнанный в отвратительную коммуналку своим партийным бескорыстием.
000064_RUSLAN|Он добивался власти и ненавидел Мау за ее аристократическое происхождение.|Он добивался власти и ненавидел Мау за ее аристократическое происхождение.
000065_RUSLAN|У самого Тихомирова происхождения не было вообще.|У самого Тихомирова происхождения не было вообще.
000066_RUSLAN|Его породили директивы.|Его породили директивы.
000067_RUSLAN|грохотал он.|грохотал он.
000069_RUSLAN|Старуха поднимала голову так резко, что взлетал ее крошечный золотой медальон|Старуха поднимала голову так резко, что взлетал ее крошечный золотой медальон
000070_RUSLAN|Неужели какать рядом с вами такая уж большая честь?!|Неужели какать рядом с вами такая уж большая честь?!
000071_RUSLAN|Тусклые перья на ее шляпе гневно вздрагивали.|Тусклые перья на ее шляпе гневно вздрагивали.
000072_RUSLAN|Для Тихомирова я был чересчур изыскан.|Для Тихомирова я был чересчур изыскан.
000073_RUSLAN|Для Мау безнадежно вульгарен.|Для Мау безнадежно вульгарен.
000074_RUSLAN|Но против Агнии Францевны у меня было сильное оружие вежливость.|Но против Агнии Францевны у меня было сильное оружие вежливость.
000075_RUSLAN|А Тихомирова вежливость настораживала.|А Тихомирова вежливость настораживала.
000076_RUSLAN|Он знал, что вежливость маскирует пороки.|Он знал, что вежливость маскирует пороки.
000077_RUSLAN|И вот однажды я беседовал по коммунальному телефону.|И вот однажды я беседовал по коммунальному телефону.
000078_RUSLAN|Беседа эта страшно раздражала Тихомирова чрезмерным умственным изобилием.|Беседа эта страшно раздражала Тихомирова чрезмерным умственным изобилием.
000079_RUSLAN|Раз десять Тихомиров проследовал узкой коммунальной трассой.|Раз десять Тихомиров проследовал узкой коммунальной трассой.
000080_RUSLAN|Трижды ходил в уборную.|Трижды ходил в уборную.
000081_RUSLAN|Заваривал чай.|Заваривал чай.
000082_RUSLAN|До полярного сияния начистил лишенные индивидуальности ботинки.|До полярного сияния начистил лишенные индивидуальности ботинки.
000083_RUSLAN|Даже зачем-то возил свой мопед на кухню и обратно.|Даже зачем-то возил свой мопед на кухню и обратно.
000084_RUSLAN|А я все говорил.|А я все говорил.
000085_RUSLAN|Я говорил, что Лев Толстой по сути дела обыватель.|Я говорил, что Лев Толстой по сути дела обыватель.
000086_RUSLAN|Что Достоевский сродни постимпрессионизму.|Что Достоевский сродни постимпрессионизму.
000087_RUSLAN|Что апперцепция у Бальзака неорганична.|Что апперцепция у Бальзака неорганична.
000088_RUSLAN|Что Люда Федосеенко сделала аборт.|Что Люда Федосеенко сделала аборт.
000089_RUSLAN|Что американской прозе не хватает космополитического фермента.|Что американской прозе не хватает космополитического фермента.
000090_RUSLAN|И Тихомиров не выдержал.|И Тихомиров не выдержал.
000091_RUSLAN|Умышленно задев меня пологим животом, он рявкнул|Умышленно задев меня пологим животом, он рявкнул
000092_RUSLAN|Смотрите-ка писатель!|Смотрите-ка писатель!
000093_RUSLAN|Да это же писатель!..|Да это же писатель!.
000094_RUSLAN|Расстреливать надо таких писателей!..|Расстреливать надо таких писателей!.
000095_RUSLAN|Знал бы я тогда, что этот вопль расслабленного умственной перегрузкой квартуполномоченного на долгие годы определит мою жизнь.|Знал бы я тогда, что этот вопль расслабленного умственной перегрузкой квартуполномоченного на долгие годы определит мою жизнь.
000096_RUSLAN|Расстреливать надо таких писателей!.. Кажется, я допускаю ошибку.|Расстреливать надо таких писателей!. Кажется, я допускаю ошибку.
000097_RUSLAN|Необходима какая-то последовательность.|Необходима какая-то последовательность.
000098_RUSLAN|Например, хронологическая.|Например, хронологическая.
000099_RUSLAN|Первый литературный импульс вот с чего я начну.|Первый литературный импульс вот с чего я начну.
000100_RUSLAN|Это было в октябре тысяча девятьсот сорок пятого года.|Это было в октябре тысяча девятьсот сорок пятого года.
000101_RUSLAN|Башкирия, Уфа, эвакуация, мне три недели.|Башкирия, Уфа, эвакуация, мне три недели.
000102_RUSLAN|Когда-то я записал этот случай.|Когда-то я записал этот случай.
000103_RUSLAN|Мой отец был режиссером драматического театра.|Мой отец был режиссером драматического театра.
000104_RUSLAN|Мать была в этом театре актрисой.|Мать была в этом театре актрисой.
000105_RUSLAN|Война не разлучила их.|Война не разлучила их.
000106_RUSLAN|Они расстались значительно позже, когда все было хорошо.|Они расстались значительно позже, когда все было хорошо.
000107_RUSLAN|Я родился в эвакуации, четвертого октября.|Я родился в эвакуации, четвертого октября.
000108_RUSLAN|Прошло три недели.|Прошло три недели.
000109_RUSLAN|Мать шла с коляской по бульвару.|Мать шла с коляской по бульвару.
000110_RUSLAN|И тут ее остановил незнакомый человек.|И тут ее остановил незнакомый человек.
000111_RUSLAN|Мать говорила, что его лицо было некрасивым и грустным.|Мать говорила, что его лицо было некрасивым и грустным.
000112_RUSLAN|А главное совсем простым, как у деревенского мужика.|А главное совсем простым, как у деревенского мужика.
000114_RUSLAN|Недаром мама помнила его всю жизнь.|Недаром мама помнила его всю жизнь.
000115_RUSLAN|Штатский незнакомец казался вполне здоровым.|Штатский незнакомец казался вполне здоровым.
000116_RUSLAN|Простите, решительно и смущенно выговорил он, но я бы хотел ущипнуть этого мальчишку.|Простите, решительно и смущенно выговорил он, но я бы хотел ущипнуть этого мальчишку.
000117_RUSLAN|Мама возмутилась.|Мама возмутилась.
000118_RUSLAN|Новости, сказала она, так вы и меня захотите ущипнуть.|Новости, сказала она, так вы и меня захотите ущипнуть.
000119_RUSLAN|Вряд ли, успокоил ее незнакомец.|Вряд ли, успокоил ее незнакомец.
000120_RUSLAN|Затем добавил|Затем добавил
000121_RUSLAN|Хотя еще минуту назад я бы задумался, прежде чем ответить.|Хотя еще минуту назад я бы задумался, прежде чем ответить.
000122_RUSLAN|Идет война, заметила мама уже не так резко, священная война!|Идет война, заметила мама уже не так резко, священная война!
000123_RUSLAN|Настоящие мужчины гибнут на передовой.|Настоящие мужчины гибнут на передовой.
000124_RUSLAN|А некоторые гуляют по бульвару и задают странные вопросы.|А некоторые гуляют по бульвару и задают странные вопросы.
000125_RUSLAN|Да, печально согласился незнакомец, война идет.|Да, печально согласился незнакомец, война идет.
000126_RUSLAN|Она идет в душе каждого из нас.|Она идет в душе каждого из нас.
000127_RUSLAN|Затем добавил|Затем добавил
000128_RUSLAN|Вы ранили мое сердце.|Вы ранили мое сердце.
000129_RUSLAN|Прошло тридцать два года.|Прошло тридцать два года.
000130_RUSLAN|И вот я читаю статью об Андрее Платонове.|И вот я читаю статью об Андрее Платонове.
000132_RUSLAN|Правда, очень недолго.|Правда, очень недолго.
000133_RUSLAN|Весь октябрь сорок первого года.|Весь октябрь сорок первого года.
000134_RUSLAN|И еще у него там случилась беда.|И еще у него там случилась беда.
000135_RUSLAN|Пропал чемодан со всеми рукописями.|Пропал чемодан со всеми рукописями.
000136_RUSLAN|Человек, который хотел ущипнуть меня, был Андреем Платоновым.|Человек, который хотел ущипнуть меня, был Андреем Платоновым.
000137_RUSLAN|Я поведал об этой встрече друзьям.|Я поведал об этой встрече друзьям.
000138_RUSLAN|Унылые люди сказали, что это мог быть и не Андрей Платонов.|Унылые люди сказали, что это мог быть и не Андрей Платонов.
000139_RUSLAN|Мало ли загадочных типов шатается по бульварам?..|Мало ли загадочных типов шатается по бульварам?.
000140_RUSLAN|Какая чепуха!|Какая чепуха!
000141_RUSLAN|В описанной истории даже я фигура несомненная!|В описанной истории даже я фигура несомненная!
000143_RUSLAN|Я часто думаю про вора, который украл чемодан с рукописями.|Я часто думаю про вора, который украл чемодан с рукописями.
000144_RUSLAN|Вор, наверное, обрадовался, завидев чемодан Платонова.|Вор, наверное, обрадовался, завидев чемодан Платонова.
000145_RUSLAN|Он думал, там лежит фляга спирта, шевиотовый мантель и большой кусок говядины.|Он думал, там лежит фляга спирта, шевиотовый мантель и большой кусок говядины.
000146_RUSLAN|То, что затем обнаружилось, было крепче спирта, ценнее шевиотового мантеля и дороже всей говядины нашей планеты.|То, что затем обнаружилось, было крепче спирта, ценнее шевиотового мантеля и дороже всей говядины нашей планеты.
000147_RUSLAN|Просто вор этого не знал.|Просто вор этого не знал.
000148_RUSLAN|Видно, он родился хроническим неудачником.|Видно, он родился хроническим неудачником.
000149_RUSLAN|Хотел разбогатеть, а стал владельцем пустого чемодана.|Хотел разбогатеть, а стал владельцем пустого чемодана.
000150_RUSLAN|Что может быть плачевнее?|Что может быть плачевнее?
000151_RUSLAN|Мазурик, должно быть, швырнул рукопись в канаву, где она и сгинула.|Мазурик, должно быть, швырнул рукопись в канаву, где она и сгинула.
000152_RUSLAN|Рукопись, лежащая в канаве или в ящике стола, неотличима от прошлогодних газет.|Рукопись, лежащая в канаве или в ящике стола, неотличима от прошлогодних газет.
000153_RUSLAN|Я не думаю, чтобы Андрей Платонов безмерно сожалел об утраченной рукописи.|Я не думаю, чтобы Андрей Платонов безмерно сожалел об утраченной рукописи.
000154_RUSLAN|В этих случаях настоящие писатели рассуждают так|В этих случаях настоящие писатели рассуждают так
000155_RUSLAN|Даже хорошо, что у меня пропали старые рукописи, ведь они были так несовершенны.|Даже хорошо, что у меня пропали старые рукописи, ведь они были так несовершенны.
000156_RUSLAN|Теперь я вынужден переписать рассказы заново, и они станут лучше.|Теперь я вынужден переписать рассказы заново, и они станут лучше.
000157_RUSLAN|Было ли все так на самом деле?|Было ли все так на самом деле?
000159_RUSLAN|Думаю, что обойдемся без нотариуса.|Думаю, что обойдемся без нотариуса.
000160_RUSLAN|Моя душа требует этой встречи.|Моя душа требует этой встречи.
000161_RUSLAN|Не зря же я с детства мечтал о литературе.|Не зря же я с детства мечтал о литературе.
000162_RUSLAN|И вот пытаюсь найти слова.|И вот пытаюсь найти слова.
000163_RUSLAN|Я вынужден сообщать какие-то детали моей биографии, иначе многое останется неясным.|Я вынужден сообщать какие-то детали моей биографии, иначе многое останется неясным.
000164_RUSLAN|Сделаю это коротко, пунктиром.|Сделаю это коротко, пунктиром.
000165_RUSLAN|Толстый застенчивый мальчик.|Толстый застенчивый мальчик.
000166_RUSLAN|Мать самокритично бросила театр и работает корректором.|Мать самокритично бросила театр и работает корректором.
000167_RUSLAN|Дружба с Алешей Лаврентьевым, за которым приезжает форд.|Дружба с Алешей Лаврентьевым, за которым приезжает форд.
000168_RUSLAN|Алеша шалит, мне поручено воспитывать его.|Алеша шалит, мне поручено воспитывать его.
000169_RUSLAN|Тогда меня возьмут на дачу.|Тогда меня возьмут на дачу.
000170_RUSLAN|Я становлюсь маленьким гувернером.|Я становлюсь маленьким гувернером.
000171_RUSLAN|Я умнее и больше читал.|Я умнее и больше читал.
000172_RUSLAN|Я знаю, как угодить взрослым.|Я знаю, как угодить взрослым.
000173_RUSLAN|Черные дворы.|Черные дворы.
000174_RUSLAN|Зарождающаяся тяга к плебсу.|Зарождающаяся тяга к плебсу.
000175_RUSLAN|Мечты о силе и бесстрашии.|Мечты о силе и бесстрашии.
000176_RUSLAN|Похороны дохлой кошки за сараями.|Похороны дохлой кошки за сараями.
000177_RUSLAN|Моя надгробная речь, вызвавшая слезы Жанны, дочери электромонтера.|Моя надгробная речь, вызвавшая слезы Жанны, дочери электромонтера.
000178_RUSLAN|Я умею говорить, рассказывать.|Я умею говорить, рассказывать.
000179_RUSLAN|Бесконечные двойки.|Бесконечные двойки.
000180_RUSLAN|Равнодушие к точным наукам.|Равнодушие к точным наукам.
000181_RUSLAN|Совместное обучение.|Совместное обучение.
000182_RUSLAN|Алла Горшкова.|Алла Горшкова.
000183_RUSLAN|Мой длинный язык.|Мой длинный язык.
000184_RUSLAN|Неуклюжие эпиграммы.|Неуклюжие эпиграммы.
000185_RUSLAN|Тяжкое бремя сексуальной невинности.|Тяжкое бремя сексуальной невинности.
000186_RUSLAN|тысяча девятьсот пятьдесят второй год.|тысяча девятьсот пятьдесят второй год.
000187_RUSLAN|Я отсылаю в газету Ленинские искры четыре стихотворения.|Я отсылаю в газету Ленинские искры четыре стихотворения.
000188_RUSLAN|Одно, конечно, про Сталина.|Одно, конечно, про Сталина.
000189_RUSLAN|Три про животных.|Три про животных.
000190_RUSLAN|Первые рассказы.|Первые рассказы.
000191_RUSLAN|Они публикуются в детском журнале Костер.|Они публикуются в детском журнале Костер.
000192_RUSLAN|Напоминают худшие вещи средних профессионалов.|Напоминают худшие вещи средних профессионалов.
000193_RUSLAN|С поэзией кончено навсегда.|С поэзией кончено навсегда.
000194_RUSLAN|С невинностью тоже.|С невинностью тоже.
000195_RUSLAN|Аттестат зрелости.|Аттестат зрелости.
000196_RUSLAN|Производственный стаж.|Производственный стаж.
000197_RUSLAN|Типография имени Володарского.|Типография имени Володарского.
000198_RUSLAN|Сигареты, вино и мужские разговоры.|Сигареты, вино и мужские разговоры.
000199_RUSLAN|Растущая тяга к плебсу.|Растущая тяга к плебсу.
000200_RUSLAN|То есть буквально ни одного интеллигентного приятеля.|То есть буквально ни одного интеллигентного приятеля.
000201_RUSLAN|Университет имени Жданова.|Университет имени Жданова.
000202_RUSLAN|Звучит не хуже, чем Университет имени Аль Капоне.|Звучит не хуже, чем Университет имени Аль Капоне.
000203_RUSLAN|Студенческие литературные упражнения.|Студенческие литературные упражнения.
000204_RUSLAN|Бесконечные переэкзаменовки.|Бесконечные переэкзаменовки.
000205_RUSLAN|Несчастная любовь, окончившаяся женитьбой.|Несчастная любовь, окончившаяся женитьбой.
000206_RUSLAN|Знакомство с молодыми ленинградскими поэтами Рейном, Найманом, Бродским.|Знакомство с молодыми ленинградскими поэтами Рейном, Найманом, Бродским.
000207_RUSLAN|Наиболее популярный человек той эпохи Сергей Вольф.|Наиболее популярный человек той эпохи Сергей Вольф.
000208_RUSLAN|ДЕДУШКА РУССКОЙ СЛОВЕСНОСТИ|ДЕДУШКА РУССКОЙ СЛОВЕСНОСТИ
000209_RUSLAN|Нас познакомили в ресторане.|Нас познакомили в ресторане.
000210_RUSLAN|Вольф напоминал американского безработного с плаката.|Вольф напоминал американского безработного с плаката.
000211_RUSLAN|Джинсы, свитер, мятый клетчатый пиджак.|Джинсы, свитер, мятый клетчатый пиджак.
000212_RUSLAN|Он пил водку.|Он пил водку.
000213_RUSLAN|Я пригласил его в фойе и невнятно объяснился без свидетелей.|Я пригласил его в фойе и невнятно объяснился без свидетелей.
000214_RUSLAN|Я хотел, чтобы Вольф прочитал мои рассказы.|Я хотел, чтобы Вольф прочитал мои рассказы.
000215_RUSLAN|Вольф был нетерпелив.|Вольф был нетерпелив.
000216_RUSLAN|Я лишь позднее сообразил водка нагревается.|Я лишь позднее сообразил водка нагревается.
000217_RUSLAN|Любимые писатели?|Любимые писатели?
000218_RUSLAN|коротко спросил Вольф.|коротко спросил Вольф.
000219_RUSLAN|Я назвал Хемингуэя, Белля, русских классиков.|Я назвал Хемингуэя, Белля, русских классиков.
000221_RUSLAN|Попрощался и ушел.|Попрощался и ушел.
000222_RUSLAN|Я был несколько озадачен.|Я был несколько озадачен.
000223_RUSLAN|Женя Рейн потом объяснил мне|Женя Рейн потом объяснил мне
000224_RUSLAN|Назвали бы Вольфа.|Назвали бы Вольфа.
000225_RUSLAN|Он бы вас угостил.|Он бы вас угостил.
000226_RUSLAN|Настоящие писатели интересуются только собой.|Настоящие писатели интересуются только собой.
000228_RUSLAN|СОЛО НА УНДЕРВУДЕ|СОЛО НА УНДЕРВУДЕ
000230_RUSLAN|Темпераментно рассказывал об авиации.|Темпераментно рассказывал об авиации.
000231_RUSLAN|Самолеты преодолевают верхнюю облачность.|Самолеты преодолевают верхнюю облачность.
000232_RUSLAN|Жаворонки попадают в сопла.|Жаворонки попадают в сопла.
000233_RUSLAN|Глохнут моторы.|Глохнут моторы.
000234_RUSLAN|Самолеты падают.|Самолеты падают.
000235_RUSLAN|Люди разбиваются.|Люди разбиваются.
000236_RUSLAN|Жаворонки попадают в сопла.|Жаворонки попадают в сопла.
000237_RUSLAN|Гибнут люди.|Гибнут люди.
000238_RUSLAN|А напротив сидел Женя Рейн.|А напротив сидел Женя Рейн.
000239_RUSLAN|Самолеты разбиваются, кричал Веселов, моторы глохнут.|Самолеты разбиваются, кричал Веселов, моторы глохнут.
000240_RUSLAN|В сопла попадают жаворонки.|В сопла попадают жаворонки.
000241_RUSLAN|Гибнут люди.|Гибнут люди.
000242_RUSLAN|Гибнут люди.|Гибнут люди.
000243_RUSLAN|Тогда Рейн обиженно крикнул А жаворонки что выживают?!..|Тогда Рейн обиженно крикнул А жаворонки что выживают?!.
000244_RUSLAN|Да и с Вольфом у меня хорошие отношения.|Да и с Вольфом у меня хорошие отношения.
000245_RUSLAN|О нем есть такая запись|О нем есть такая запись
000246_RUSLAN|СОЛО НА УНДЕРВУДЕ|СОЛО НА УНДЕРВУДЕ
000247_RUSLAN|Вольф с Длуголенским отправились ловить рыбу.|Вольф с Длуголенским отправились ловить рыбу.
000248_RUSLAN|Вольф поймал огромного судака.|Вольф поймал огромного судака.
000249_RUSLAN|Вручил его хозяйке и говорит|Вручил его хозяйке и говорит
000250_RUSLAN|Поджарьте этого судака, и будем вместе ужинать.|Поджарьте этого судака, и будем вместе ужинать.
000251_RUSLAN|Так и сделали.|Так и сделали.
000252_RUSLAN|Поужинали, выпили.|Поужинали, выпили.
000253_RUSLAN|Вольф и Длуголенский ушли в свой чулан.|Вольф и Длуголенский ушли в свой чулан.
000254_RUSLAN|Хмурый Вольф сказал Длуголенскому|Хмурый Вольф сказал Длуголенскому
000255_RUSLAN|У тебя есть карандаш и бумага?|У тебя есть карандаш и бумага?
000256_RUSLAN|Вольф порисовал минуты две и говорит Вот суки!|Вольф порисовал минуты две и говорит Вот суки!
000257_RUSLAN|Они подали не всего судака!|Они подали не всего судака!
000258_RUSLAN|Этот подъем был.|Этот подъем был.
000259_RUSLAN|И этот спуск был.|И этот спуск был.
000260_RUSLAN|А вот этого перевала не было.|А вот этого перевала не было.
000261_RUSLAN|Явный пробел в траектории судака.|Явный пробел в траектории судака.
000262_RUSLAN|тысяча девятьсот шестидесятый год.|тысяча девятьсот шестидесятый год.
000263_RUSLAN|Новый творческий подъем.|Новый творческий подъем.
000264_RUSLAN|Рассказы, пошлые до крайности.|Рассказы, пошлые до крайности.
000265_RUSLAN|Тема одиночество.|Тема одиночество.
000266_RUSLAN|Неизменный антураж вечеринка.|Неизменный антураж вечеринка.
000267_RUSLAN|Вот примерный образчик фактуры|Вот примерный образчик фактуры
000268_RUSLAN| А ты славный малый!|А ты славный малый!
000269_RUSLAN|Да, ты славный малый!|Да, ты славный малый!
000270_RUSLAN|Нет, ты славный малый.|Нет, ты славный малый.
000271_RUSLAN|Просто замечательный.|Просто замечательный.
000272_RUSLAN|Ты меня любишь?|Ты меня любишь?
000273_RUSLAN|Выпирающие ребра подтекста.|Выпирающие ребра подтекста.
000274_RUSLAN|Хемингуэй как идеал литературный и человеческий.|Хемингуэй как идеал литературный и человеческий.
000275_RUSLAN|Недолгие занятия боксом.|Недолгие занятия боксом.
000276_RUSLAN|Развод, отмеченный трехдневной пьянкой.|Развод, отмеченный трехдневной пьянкой.
000277_RUSLAN|Повестка из военкомата.|Повестка из военкомата.
000278_RUSLAN|Я хотел уже перейти к решающему этапу своей литературной биографии.|Я хотел уже перейти к решающему этапу своей литературной биографии.
000279_RUSLAN|И вот перечитал написанное.|И вот перечитал написанное.
000280_RUSLAN|Что-то важное скомкано, забыто.|Что-то важное скомкано, забыто.
000281_RUSLAN|Упущенные факты тормозят мои автобиографические дроги.|Упущенные факты тормозят мои автобиографические дроги.
000282_RUSLAN|Я уже говорил, что познакомился с Бродским.|Я уже говорил, что познакомился с Бродским.
000283_RUSLAN|Вытеснив Хемингуэя, он навсегда стал моим литературным кумиром.|Вытеснив Хемингуэя, он навсегда стал моим литературным кумиром.
000284_RUSLAN|Нас познакомила моя бывшая жена Ася.|Нас познакомила моя бывшая жена Ася.
000285_RUSLAN|До этого она не раз говорила|До этого она не раз говорила
000286_RUSLAN|Есть люди, перед которыми стоят великие цели!|Есть люди, перед которыми стоят великие цели!
000287_RUSLAN|СОЛО НА УНДЕРВУДЕ|СОЛО НА УНДЕРВУДЕ
000288_RUSLAN|Шли мы откуда-то с Бродским.|Шли мы откуда-то с Бродским.
000289_RUSLAN|Был поздний вечер.|Был поздний вечер.
000290_RUSLAN|Спустились в метро закрыто.|Спустились в метро закрыто.
000291_RUSLAN|Чугунная решетка от земли до потолка.|Чугунная решетка от земли до потолка.
